180	   1122.334456	     1472	0	    0	    0
200	   1090.512541	     1483	0.241	4.44	0.000444
220	   1054.852321	     1496	0.224	3.82	0.000382
240	   1019.367992	     1513	0.207	3.35	0.000335
260	   982.3182711	     1533	0.19	3	    0.0003
280	   946.0737938	     1565	0.173	2.72	0.000272
300	   906.6183137	     1605	0.156	2.51	0.000251
320	   865.8008658	     1658	0.139	2.33	0.000233
340	   821.6926869	     0	    0.124	2.12	0.000212
360	   771.0100231	     0	    0.11	1.87	0.000187
380	   708.7172218	     0	    0.095	1.67	0.000167
400	   638.5696041	     0	    0.075	1.51	0.000151
415	   473.9336493	     0	    0	    0	    0
