280	    1515.151515	   0	  0.12	    748	    0.000748
300	    1474.926254	   0	  0.114	    587	    0.000587
320	    1438.848921	   0	  0.109	    468	    0.000468
340	    1398.601399	   0	  0.103	    381	    0.000381
360	    1353.179973	   1030	  0.095	    319	    0.000319
380	    1307.189542	   1070	  0.0921	273	    0.000273
400	    1257.861635	   1110	  0.0863	237	    0.000237
420	    1216.545012	   1150	  0.0808	206	    0.000206
440	    1148.105626	   1210	  0.075	    177	    0.000177
460	    1085.77633	   1320	  0.0694	155	    0.000155
480	    1020.408163	   1430	  0.0641	129.6	0.0001296
500	    944.2870633	   1590	  0.0584	105.5	0.0001055
520	    838.2229673	   0	  0.0518	81.2	0.0000812
530	    753.0120482	   0	  0.0461	67.7	0.0000677
536.6	500	           0	  0	        0	    0
